forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
2007-01-31,+0 months,mango_rmse,6.111107944358139,1.260584402935679,1.0,3.1594687189471085,5.803671108124235
2007-02-28,+1 month,mango_rmse,10.639657004159933,4.52588194403544,1.0,7.097085096114421,9.327482608159812
2007-03-31,+2 months,mango_rmse,2.180834158994283,4.3479135153323005,1.0,4.570326829919535,6.995677961164143
2007-04-30,+0 months,mango_rmse,15.64707312148006,2.0823556500736347,1.0,5.49325554617903,5.87123385157632
2007-05-31,+1 month,mango_rmse,8.210482044857036,8.472555180771662,1.0,5.733130042467241,5.6394467563758415
2007-06-30,+2 months,mango_rmse,1.3861868418935315,4.176559594348318,1.0,1.645096909815209,3.949835131974831
2007-07-31,+0 months,mango_rmse,14.45201053417521,9.696554257719681,1.0,8.288396977933902,8.091111848358993
2007-08-31,+1 month,mango_rmse,1.9687624038449882,5.912597622742961,1.0,6.564300135883548,6.553174903853053
2007-09-30,+2 months,mango_rmse,1.8277051574647354,5.629649258476441,1.0,8.690323014721876,3.6132799448818567
2007-10-31,+0 months,mango_rmse,11.872537878359783,1.9266442269578568,1.0,9.264370699350229,0.8416166876313061
2007-11-30,+1 month,mango_rmse,17.708786195963818,1.7610859734085176,1.0,5.879660255295769,0.7797881364434094
2007-12-31,+2 months,mango_rmse,2.433762212128459,5.832582251497945,1.0,7.765205255111195,4.403136794763357
2008-01-31,+0 months,mango_rmse,11.232833674140936,2.0333516825382447,1.0,8.803711720191101,4.267481153375864
2008-02-29,+1 month,mango_rmse,9.470716153145025,4.96204934279574,1.0,5.252742227140906,1.5873347765707735
2008-03-31,+2 months,mango_rmse,13.840489792569874,0.47881820237819517,1.0,0.6629187360093372,2.8389830070163993
2008-04-30,+0 months,mango_rmse,10.977661464846491,3.9993616903306353,1.0,7.4638341228460945,6.445890202582867
2008-05-31,+1 month,mango_rmse,5.504131442101432,7.0257037708944505,1.0,3.0170248718857167,0.7327634716973684
2008-06-30,+2 months,mango_rmse,16.039653595451092,8.352313933638676,1.0,5.441834725467965,1.5494548195622961
2008-07-31,+0 months,mango_rmse,0.2053948183064072,5.660197445707995,1.0,9.856936156541007,2.320015874365756
2008-08-31,+1 month,mango_rmse,9.144853295616358,9.013743525156032,1.0,8.374511150015705,5.460475380931394
2008-09-30,+2 months,mango_rmse,11.795013109021042,7.635642831998956,1.0,8.718566539001078,6.58482362737646
2008-10-31,+0 months,mango_rmse,3.74711900419749,0.30315138806448416,1.0,6.168906459316637,2.091404556870985
2008-11-30,+1 month,mango_rmse,8.36242987704777,6.626211997966777,1.0,4.626199078130515,5.493991427144638
2008-12-31,+2 months,mango_rmse,17.779842762715507,8.516292495257037,1.0,9.875279812704925,5.536172339169139
2009-01-31,+0 months,mango_rmse,19.913786439969197,0.851301915426171,1.0,2.7489186295406136,3.7209768463250854
2009-02-28,+1 month,mango_rmse,3.7470910111173175,0.4447556740527119,1.0,0.47921668179591986,7.217494986733353
2009-04-30,+0 months,mango_rmse,19.44591255169386,8.304551418611137,1.0,6.074905962264643,1.0606555195523992
2009-05-31,+1 month,mango_rmse,19.904399724050645,1.9470347150229477,1.0,5.1184281803501435,7.923547710463269
2009-06-30,+2 months,mango_rmse,7.382154119616658,8.160005376332512,1.0,0.9827137863010765,2.8643929348180897
2009-07-31,+0 months,mango_rmse,3.364691240169266,9.917041329068523,1.0,7.517159452761954,3.3255140777924956
2009-08-31,+1 month,mango_rmse,10.257414501505112,5.711440269018851,1.0,8.573758927537046,2.590970566690555
2009-09-30,+2 months,mango_rmse,11.36667990116677,0.09893820755444922,1.0,3.8604682064298856,9.027339647013934
2009-10-31,+0 months,mango_rmse,15.63394412408631,0.3596220850548394,1.0,2.4597637899071185,0.1223656790330775
2009-11-30,+1 month,mango_rmse,19.94315853087532,0.17546712048060814,1.0,0.71089021336414,5.939749944684989
2009-12-31,+2 months,mango_rmse,1.4170636326728971,4.072799621493796,1.0,3.679498776367777,0.48364310186019827
2010-01-31,+0 months,mango_rmse,1.516031683250134,5.144427343807646,1.0,7.550242627873324,7.160863652160826
